Planet,mass,radius,density,g,ve,a,Tsurf,Teq,ESIi,ESIs,ESIg
766.01,24.758,3.8,0.45,1.71,2.55,0.05,1174,1144,0.603,0.061,0.191
212.01,89.974,6.5,0.33,2.13,3.72,0.06,1007,977,0.468,0.077,0.19
192.01,247.374,9.9,0.25,2.52,5,0.1,885,855,0.379,0.094,0.188
155.01,24.758,3.8,0.45,1.71,2.55,0.07,1194,1164,0.603,0.059,0.188
HD 168746b,73.101,5.96,0.34,2.06,3.5,0.07,1049,1019,0.489,0.072,0.187
597.02,3.414,1.4,1.24,1.74,1.56,0.03,1494,1464,0.892,0.039,0.187
371.01,18886,60.1,0.09,5.23,17.73,0.92,430,400,0.14,0.248,0.186
1391.01,161.928,8.3,0.28,2.35,4.42,0.08,951,921,0.415,0.083,0.186
138.01,856.943,16.6,0.19,3.11,7.19,0.28,746,716,0.288,0.119,0.186
1152.01,1215.79,19.2,0.17,3.3,7.96,0.05,706,676,0.266,0.129,0.186
343.02,5.559,1.6,1.36,2.17,1.86,0.03,1451,1421,0.849,0.04,0.185
623.03,8.544,1.8,1.46,2.64,2.18,0.07,1403,1373,0.812,0.042,0.185
1003.01,578.823,14.1,0.21,2.91,6.41,0.08,796,766,0.315,0.108,0.185
22.01,218.398,9.4,0.26,2.47,4.82,0.08,920,890,0.389,0.087,0.184
1314.01,20.317,3.5,0.47,1.66,2.41,0.09,1243,1213,0.625,0.054,0.184
913.01,202.017,9.1,0.27,2.44,4.71,0.05,932,902,0.396,0.085,0.184
938.02,2.605,1.3,1.19,1.54,1.42,0.02,1555,1525,0.916,0.036,0.183
379.01,15.176,3.1,0.51,1.58,2.21,0.07,1297,1267,0.659,0.05,0.182
HD 102195b,143.024,7.88,0.29,2.3,4.26,0.05,993,963,0.426,0.077,0.181
1560.01,3441.59,29.6,0.13,3.93,10.79,0.2,610,580,0.21,0.156,0.181
779.01,458.735,12.8,0.22,2.8,5.99,0.1,851,821,0.331,0.096,0.179
433.01,68.417,5.8,0.35,2.03,3.44,0.05,1106,1076,0.495,0.064,0.178
115.01,18.949,3.4,0.48,1.64,2.36,0.06,1290,1260,0.633,0.05,0.178
